member_id,tier,country,source,tenure,active
12428284,Platinum,Germany,referral,6,0
39743027,Platinum,France,referral,1,0
59559187,Silver,UK,organic,1,0
46170183,Silver,UK,organic,4,0
14600427,Gold,France,organic,1,0
66414091,Silver,Germany,organic,1,0
624565,Gold,Germany,referral,8,0
79845424,Platinum,Netherlands,organic,1,0
65813196,Gold,US,referral,9,1
33783639,Silver,US,organic,1,0
92194942,Gold,Germany,organic,1,0
71152997,Gold,Spain,organic,1,0
84167832,Gold,US,organic,3,0
54834396,Silver,Germany,organic,1,0
92493591,Silver,France,organic,2,0
79892895,Platinum,Netherlands,organic,2,0
7393901,Gold,Italy,organic,1,0
35178290,Gold,UK,organic,1,0
84366297,Gold,UK,organic,1,0
51073687,Silver,Netherlands,organic,9,1
75032973,Silver,US,organic,3,0
21490711,Platinum,US,organic,1,0
28282358,Silver,UK,organic,8,0
25230705,Gold,Canada,organic,2,0
40967269,Gold,UK,organic,1,0
93307732,Gold,Italy,organic,2,0
93381239,Gold,Germany,organic,1,0
93866617,Platinum,France,organic,1,0
10474050,Silver,Netherlands,organic,9,1
10267889,Gold,France,organic,1,0
33048004,Gold,US,referral,9,1
98282693,Gold,Netherlands,partnerships,9,1
72409465,Gold,UK,referral,1,0
90613939,Gold,Germany,organic,2,0
1748470,Silver,Italy,organic,4,0
28655957,Platinum,Germany,organic,2,0
47354405,Silver,UK,partnerships,2,0
47449214,Gold,UK,organic,1,0
70189736,Gold,France,organic,1,0
50679994,Gold,Germany,partnerships,5,0
57324520,Gold,Netherlands,organic,1,0
89989854,Silver,UK,organic,1,0
87146720,Platinum,France,organic,1,0
5698574,Silver,France,organic,2,0
47465895,Gold,UK,organic,3,0
76920083,Gold,Germany,organic,1,0
61805360,Gold,US,organic,3,0
65488774,Silver,UK,organic,4,0
66578429,Silver,Netherlands,partnerships,1,0
73757615,Gold,Italy,organic,1,0
6457250,Gold,UK,organic,2,0
52544691,Gold,Netherlands,organic,2,0
33132497,Silver,US,organic,1,0
13241364,Silver,Italy,partnerships,7,0
26425070,Gold,Netherlands,organic,1,0
59164413,Silver,UK,organic,1,0
54360969,Silver,Italy,organic,1,0
21484623,Platinum,US,partnerships,1,0
51766948,Gold,Canada,organic,1,0
45543143,Gold,Netherlands,organic,1,0
1380584,Platinum,Germany,organic,1,0
74844717,Gold,France,organic,1,0
57574720,Gold,UK,organic,1,0
18448190,Gold,Germany,organic,4,0
54013994,Silver,Netherlands,organic,9,1
80167771,Silver,US,organic,3,0
83853083,Gold,US,organic,6,0
51501718,Platinum,Netherlands,organic,1,0
45501245,Silver,Italy,organic,8,0
60203343,Gold,Germany,organic,1,0
39145081,Gold,Germany,organic,3,0
13659854,Silver,UK,organic,9,1
5504595,Gold,Canada,organic,1,0
30864586,Silver,US,organic,6,0
1350094,Gold,Germany,organic,3,0
96489661,Gold,Canada,organic,1,0
6693914,Gold,UK,organic,7,0
20453097,Gold,Spain,organic,1,0
77572544,Gold,UK,organic,1,0
15231880,Silver,Spain,partnerships,1,0
83841869,Gold,Netherlands,organic,1,0
51852616,Silver,France,organic,3,0
4451244,Gold,Spain,organic,1,0
50844781,Platinum,Italy,organic,1,0
43849445,Gold,Italy,organic,2,0
10483232,Platinum,Germany,partnerships,1,0
20040866,Gold,UK,referral,9,1
4671372,Silver,Spain,organic,1,0
74476690,Gold,UK,organic,2,0
36061753,Silver,UK,organic,1,0
23286204,Gold,US,organic,3,0
44294405,Silver,Spain,organic,1,0
92079214,Silver,Italy,organic,1,0
57308037,Gold,France,organic,1,0
88404481,Gold,France,organic,2,0
91600121,Gold,Spain,organic,2,0
46301701,Gold,Canada,referral,1,0
34431085,Platinum,US,partnerships,1,0
41712322,Gold,US,organic,2,0
22365611,Silver,Netherlands,organic,9,1
47027403,Silver,UK,organic,1,0
85085482,Silver,Spain,organic,1,0
52044043,Silver,Italy,organic,1,0
